Date,Name,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10
4/1/25 13:08,Rithika,Kraven,Tangled,,Top Gun,Mission Impossible,007,The notebook,Fault in our stars,Six feet apart,Lilo and stitch
4/1/25 12:25,sabrina,maze runner,avengers endgame,spiderman,it,get out,split,the conjuring,superbad,27 dresses,serendipity
4/1/25 9:52,gillian,Gladiator,Gladiator 2,Dark Knight,Shutter Island,Fight Club,Fantastic Mr. Fox,Star Wars A New Hope,The Godfather,Mud,13 Going on 30
4/1/25 9:52,Emma,Interstellar,Bad moms christmas,Mean girls,Coraline,Spiderman,Wicked,Good will hunting,The black narcissus,Anora,Heretic
4/1/25 9:51,Kourtney,Hunger Games Catching Fire,The Bee Movie,Shrek 2,Mickey 17,Interstellar,Avatar,Holes,Encanto,Everything Everywhere All At Once,Twisters
4/1/25 9:51,Pranav,Interstellar,Black Phone,,,,,,,,
4/1/25 9:51,Lara,Shawshank Redemption,Mrs. Doubtfire,Divergent,Companion,Marley & Me,Tangled,High School Musical,Anora,Camp Rock,Good Will Hunting
4/1/25 9:51,Benjamin,Star Wars: Revenge of the Sith,Star Wars: The Return of the Jedi,The Matrix,Princess and the Frog,Ready Player One,Harry Potter and the Prisoner of Azkaban,Le Roi et L'oiseau,Moana,Treasure Planet,Robin Hood
4/1/25 9:51,lara,pitch perfect,interstellar,legally blonde,mean girls,barbie 12 dancing princesses,dune,challengers,16 candles,cinderella,star wars
4/1/25 9:51,William,Plankton,Parenting,Borderline,Last Breath,Cash Out 2,Love Hurts,The Brutalist,Small things like these,The Ritual,Presence
4/1/25 9:51,Maria,La La Land,How to Train Your Dragon,Spiderman,Finding Nemo,The Hunger Games,The Shining,The Godfather,Zootopia,Mean Girls,Mamma Mia
4/1/25 9:51,Janet,Challengers,The Substance,Everything Everywhere All At Once,Anora,Wicked,Saltburn,We Live in Time,Don't Worry Darling,The Brutalist,Parasite
4/1/25 9:51,Mira,The Sandlot,Now You See Me,The Greatest Showman,The Bee Movie,Challengers,Friday Night Lights,Top Gun,Wonder Woman,Grown Ups,The Lego Movie
4/1/25 9:51,Anthony,Cast Away,Lord of the Rings,Rush Hour,The Terminator,Total Recall,It,,,,
4/1/25 9:51,Eliza,Mufasa,The Hangover,Frozen,Ferris Buellers Day off,Meet the Fockers,Home Alone,50 First Dates,Groundhog Day,Grownups,Despicable Me 4
4/1/25 9:51,Abby,Catch me if you can,La la land,Hunger Games,Divergent,Interstellar,Jaws,Avatar,Titanic,Barbie Movie,Minions
4/1/25 9:51,Alex,Wicked,Inside Out,Smile,Coco,Moana,Frozen,Lion King,Everything Everywhere All At Once,Red White and Royal Blue,The Lego Movie
4/1/25 9:50,Monet,star wars,lego movie,princess bride,shrek,wreck it ralph,the godfather,zootopia,mary poppins,the little mermaid,sleeping beauty
4/1/25 9:50,Zach,Nemo,Interstellar,Iron Man,,,,,,,
4/1/25 9:50,Eden,Interstellar,Inception,The Brutalist,Surf's Up,The Wolf of Wall Street,Madagascar 2,The Social Network,Snowden,The Arrival,Happy Feet
4/1/25 9:50,Ryan,Spirited Away,Joyride,Wicked,Anora,The Greatest Showman,Black Widow,Beetlejuice Beetlejuice,Crazy Rich Asians,The Old Guard,The Substance
4/1/25 9:50,Grace,Devil Wears Prada,Legally Blond,Me Before You,Lorax,Cloudy With A Chance of Meatballs,Marley and Me,Hunger Games,Harry Potter,Mamma Mia,The Godfather
4/1/25 9:50,Ethan,Avengers 1,Batman,BlackPanther,Hulk,Diary of a Wimpy Kid,Sing 2,Avatar,Iron Man,Captain America,Dr. Strange
4/1/25 9:50,Hannah,Adrift,The Help,The Secret Life of Walter Mitty,Fantastic Mr. Fox,Everest,Leave the World Behind,Don't Look Up,Mean Girls,,
4/1/25 9:50,lindsay,Goodwill Hunting,The Princess Diaries,Memento,Anora,Heretic,Midsommar,Frozen,The Godfather,Goodfellas,Ladybird
4/1/25 9:50,Trisha,The Godfather Part 1,Breakfast at Tiffany's,Eat Pray Love,Notting Hill,Harry Potter and the Sorcerer's Stone,Gentlemen Prefer Blondes,Casablanca,The Godfather Part 2,American Psycho,Pulp Fiction
4/1/25 9:50,Ksenia,The Great Gatsby,Harry Potter and the Half-Blood Prince,Knives out,Death on the Nile,Murder on the Orient Express,Perfume: The Story of a Murderer,,,,
4/1/25 9:50,Krishna,,,,,,,,,,
4/1/25 9:50,Tyler,Jurassic Park,IT,Home Alone,ELF,Wreck it Ralph,Despicable Me,Inside Out,Nighcrawler,Fight Club,Wicked
4/1/25 8:04,Tanmay,Minecraft Movie,Lego Movie,Spongebob,,,,,,,
4/1/25 7:53,Ryan,star wars,finding nemo,dune,lord of the rings,the matrix,zootopia,ratatouille,minions,the beauty and the beast,cars
4/1/25 7:52,Daniel,Cars,Kung Fu Panda,Cars 2,Avatar,Shawshank redemption,Despicable Me,Kung fu panda 2,Up,Home alone,Home Alone 2
4/1/25 7:52,xiumeng,Call me by your name,The Godfather,The Shawshank Redemption,The Truman Show,Intouchables,Gone with the Wind,The Pianist,Modern Times,It's a Wonderful Life,Dead Poets Society
4/1/25 7:52,Noah,Kung Fu Panda,Rush Hour,Karate Kid,Mission Impossible,Intestellar,Star Wars,Baby Driver,Dune,Star Wars,Sing
4/1/25 7:52,Yu-Hsuan,Hunger Games,Harry Potter,Titanic,Love Letter,Me Before You,Mufasa,Smile,Bullet Train,Star Wars,Beauty and the Beast
4/1/25 7:51,Ekaterina,The Lorax,Aladdin,Mean Girls,Snow White,Harry Potter,Cinderella,La la land,The devil wears prada,,Minions
4/1/25 7:51,Ellie,Mean Girls,Star Wars,Monsters Inc,Clueless,,,,,,
4/1/25 7:51,Charlotte,Guardians of the Galaxy,Dead Poets Society,Cinderella,Rapunzel,Brave,cheaper by the dozen,bridesmaids,trolls 1,trolls world tour,wicked
4/1/25 7:51,Rahul,Amazing Spiderman 2,Luca,The Dark Knight,Fight Club,Top Gun: Maverick,Remember the Titans,Lion King,Ford vs Ferrari,Creed III,Rocky
